Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
242252419,May We Feed the King,Rebecca  Perry,"Perry, Rebecca",,"=""1803513888""","=""9781803513881""",0,Granta Books,Kindle Edition,263,2026,2026,,2026/03/01,to-read,to-read (#283),to-read,,,,0,0
37539796,"Dragon Storm (Heritage of Power, #1)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,,Kindle Edition,280,2017,2017,,2026/03/01,to-read,to-read (#282),to-read,,,,0,0
239633794,Divergence: A Litrpg Apocalypse,Sean Oswald,"Oswald, Sean",Joshua Mason,"=""""","=""""",0,,Kindle Edition,830,2025,,,2026/03/01,to-read,to-read (#281),to-read,,,,0,0
243483834,Exploration: A Litrpg Apocalypse,Sean Oswald,"Oswald, Sean",Joshua Mason,"=""""","=""""",0,,Kindle Edition,885,2026,,,2026/03/01,to-read,to-read (#280),to-read,,,,0,0
57213544,The Life of Chuck,Stephen  King,"King, Stephen",,"=""""","=""""",5,,Unknown Binding,58,,,2026/02/19,2026/02/15,,,read,Pros:<br/>- it’s King<br/>- it’s entertaining<br/>- it’s magical<br/><br/>Cons:<br/>- it’s short,,,1,0
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1627792120""","=""9781627792127""",4,Henry Holt & Company,Hardcover,465,2015,2015,2026/02/14,2023/05/22,,,read,"4⭐️ but almost 3.5<br/><br/>Pros:<br/>- entertaining story with good world building<br/>- very character-driven <br/><br/>Cons:<br/>- the last 1/3 felt so rushed that i actually thought that this was just a 1 book thing - i wasn’t expecting there to be more with how the story was going<br/>- sometimes there’s a lot of description, some others there isn’t enough - characters ended up being doing actions out of nowhere and that didn’t appear to match their position in the scene",,,1,0
228134347,"Apex (The Exlian Syndrome Series, #3)",Seth Ring,"Ring, Seth",,"=""""","=""9798874692599""",5,"Blackstone Publishing, Inc.",Hardcover,336,2025,2025,2026/02/10,2026/01/27,,,read,"This is a 4.5 but it deserves the 5!<br/><br/>Pros:<br/>- a wild contrast from the last book, where we got no action and a lot of exploration; this one had the perfect amount of both with good description of everything going on<br/>- I thought that Mark acquiring powers left and right would get old soon but I’m glad I’m wrong!<br/>- the prison felt like a very cool environment and although the characters were a bit cliche, it was very entertaining<br/><br/>Cons:<br/>- sad that Mark’s warehouse journey was cut short, I wanted to see how much it would scale<br/>- end felt a bit rushed and would have preferred a more passed resolution",,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",3,Del Rey,Hardcover,382,2014,2014,2024/09/22,2023/07/15,,,read,"It gets a 3⭐️ because it is competent at having me entertained but I was expecting a lot more from the SciFi part and from the plot.<br/>Plot felt meh, with a lot of holes in it, and the world building felt like something that already exists, but, still, it felt like a proper Sunday movie, if you catch my drift",,,1,0
130631265,SALEM'S LOT (Stephen King Library - Red Leather),Stephen  King,"King, Stephen",,"=""""","=""""",4,Stephen King Library,Hardcover,439,,1975,2026/01/27,2024/09/02,,,read,"Pros:<br/>- King’s characters are unbeatable and there’s a ton of them in this one<br/>- of all the King books I read, the world in this one feels very alive, real, and it’s just a joy to be immersed in it<br/><br/>Cons:<br/>- not as good as Carrie<br/>- it goes for way too long nearing the end, and, at the same time, it cuts short on a good resolution<br/>- i really didn’t like the end ",,,1,0
60784562,"Antimatter Blues (Mickey7, #2)",Edward Ashton,"Ashton, Edward",,"=""1250275059""","=""9781250275059""",2,St. Martin's Press,Hardcover,292,2023,2023,2026/01/27,2026/01/18,,,read,"Pros:<br/>- we keep getting more world building, which is never bad<br/>- it’s entertaining enough to not give it 1⭐️<br/><br/>Cons:<br/>- this book disappointed me; without clones, Mickey is just another dude and there’s nothing about him that makes me care of having him as the main character<br/>- the end was … lacklustre; again, I don’t really care about the characters for the end to matter<br/>- there’s a lot of tell and very little of show; this is an issue with having the narration coming from a single character, as in it can only narrate what it sees, and it doesn’t see a lot<br/>- there’s a lot of dialogue; like, maybe too much compared with with the first book",,,1,0
62030429,Mickey 7 (Mickey7 #1),Edward Ashton,"Ashton, Edward",Felix Mayer,"=""3641280540""","=""9783641280543""",3,Heyne Verlag,Kindle Edition,369,2022,2022,2026/01/17,2026/01/10,,,read,"Pros:<br/>- concept is cool<br/>- world and culture is mentioned in good manner so world building is reasonable<br/>- although the story ended up being extremely mild and not very interesting, i’m jumping into book 2 so i guess it deserves at least some praise<br/><br/>Cons:<br/>- not much happens<br/>- really, there are like 3 scenes of stuff really happening and it’s not worth the full book<br/>- everything seems very vague and we don’t even get a good idea on why Mickey7 is so different",,,1,0
220053080,"Dark Dawn (The Exlian Syndrome, #2)",Seth Ring,"Ring, Seth",,"=""""","=""9798874692582""",3,"Blackstone Publishing, Inc.",Hardcover,352,2025,2025,2026/01/10,2026/01/04,,,read,"I was split between a 2 and a 3 but I decided to be a good sport<br/><br/>Pros:<br/>- more world building and skill building - there’s never enough of that<br/>- fight scenes, like in the first book, are definitely one of the strongest points<br/>- Mark being reasonable about what powers he chooses to have is kinda refreshing<br/><br/>Cons:<br/>- it felt like a filler episode - the book has a lot of padding that could have easily been removed<br/>- about 20% of the book is Mark training in the jungle, which is not exactly bad, in theory, but I really don’t need to have a description of each enemy he kills<br/>- in the first book it was kinda ok the way Mark just accepted stuff, but, in this one, it felt weird… especially with the last character development, which seemed to come from nowhere<br/>- very few interactions between characters, which felt like a strong point on the first book",,,1,0
15096164,"Pines (Wayward Pines, #1)",Blake Crouch,"Crouch, Blake",,"=""1612183956""","=""9781612183954""",1,Thomas & Mercer,Paperback,307,2012,2012,2026/01/09,2026/01/02,,,read,"What a mess of a book! I feel like I didn’t read the same thing as the rest of the reviews…<br/><br/>Cons:<br/>- this doesn’t read as other books by Crouch; the tension is so badly managed that I found myself thinking “yeah, yeah, just get over with it, that’s enough” - seriously… the tension scales the entire book, but it doesn’t play with itself, so you end up waiting for the climax, and… it doesn’t exist<br/>- you get a glimpse of the MC past, but the reasons for it are a complete mystery - it serves almost no purpose to the plot<br/>- the MC is, apparently, a master climber, with a special ability to fit into tight spaces after being drugged, slashed, almost shot, and fighting hypothermia and severe infections<br/>- the MC spends to much time escaping and he just gives himself to the bad guys, because of reasons<br/>- the sci-fi of it is barely explained<br/>- nothing makes a lot of sense",,,1,0
