goodreads_id,title,author,isbn,isbn13,rating,status,date_read,date_added,favorite,review
228134347,"Apex (The Exlian Syndrome Series, #3)",Seth Ring,,9798874692599,5,read,2026/02/10,2026/01/27,false,"This is a 4.5 but it deserves the 5!<br/><br/>Pros:<br/>- a wild contrast from the last book, where we got no action and a lot of exploration; this one had the perfect amount of both with good description of everything going on<br/>- I thought that Mark acquiring powers left and right would get old soon but I’m glad I’m wrong!<br/>- the prison felt like a very cool environment and although the characters were a bit cliche, it was very entertaining<br/><br/>Cons:<br/>- sad that Mark’s warehouse journey was cut short, I wanted to see how much it would scale<br/>- end felt a bit rushed and would have preferred a more passed resolution"
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,0345539788,9780345539786,3,read,2024/09/22,2023/07/15,false,"It gets a 3⭐️ because it is competent at having me entertained but I was expecting a lot more from the SciFi part and from the plot.<br/>Plot felt meh, with a lot of holes in it, and the world building felt like something that already exists, but, still, it felt like a proper Sunday movie, if you catch my drift"
130631265,SALEM'S LOT (Stephen King Library - Red Leather),Stephen King,,,4,read,2026/01/27,2024/09/02,false,"Pros:<br/>- King’s characters are unbeatable and there’s a ton of them in this one<br/>- of all the King books I read, the world in this one feels very alive, real, and it’s just a joy to be immersed in it<br/><br/>Cons:<br/>- not as good as Carrie<br/>- it goes for way too long nearing the end, and, at the same time, it cuts short on a good resolution<br/>- i really didn’t like the end "
60784562,"Antimatter Blues (Mickey7, #2)",Edward Ashton,1250275059,9781250275059,2,read,2026/01/27,2026/01/18,false,"Pros:<br/>- we keep getting more world building, which is never bad<br/>- it’s entertaining enough to not give it 1⭐️<br/><br/>Cons:<br/>- this book disappointed me; without clones, Mickey is just another dude and there’s nothing about him that makes me care of having him as the main character<br/>- the end was … lacklustre; again, I don’t really care about the characters for the end to matter<br/>- there’s a lot of tell and very little of show; this is an issue with having the narration coming from a single character, as in it can only narrate what it sees, and it doesn’t see a lot<br/>- there’s a lot of dialogue; like, maybe too much compared with with the first book"
62030429,Mickey 7 (Mickey7 #1),Edward Ashton,3641280540,9783641280543,3,read,2026/01/17,2026/01/10,false,"Pros:<br/>- concept is cool<br/>- world and culture is mentioned in good manner so world building is reasonable<br/>- although the story ended up being extremely mild and not very interesting, i’m jumping into book 2 so i guess it deserves at least some praise<br/><br/>Cons:<br/>- not much happens<br/>- really, there are like 3 scenes of stuff really happening and it’s not worth the full book<br/>- everything seems very vague and we don’t even get a good idea on why Mickey7 is so different"
220053080,"Dark Dawn (The Exlian Syndrome, #2)",Seth Ring,,9798874692582,3,read,2026/01/10,2026/01/04,false,"I was split between a 2 and a 3 but I decided to be a good sport<br/><br/>Pros:<br/>- more world building and skill building - there’s never enough of that<br/>- fight scenes, like in the first book, are definitely one of the strongest points<br/>- Mark being reasonable about what powers he chooses to have is kinda refreshing<br/><br/>Cons:<br/>- it felt like a filler episode - the book has a lot of padding that could have easily been removed<br/>- about 20% of the book is Mark training in the jungle, which is not exactly bad, in theory, but I really don’t need to have a description of each enemy he kills<br/>- in the first book it was kinda ok the way Mark just accepted stuff, but, in this one, it felt weird… especially with the last character development, which seemed to come from nowhere<br/>- very few interactions between characters, which felt like a strong point on the first book"
15096164,"Pines (Wayward Pines, #1)",Blake Crouch,1612183956,9781612183954,1,read,2026/01/09,2026/01/02,false,"What a mess of a book! I feel like I didn’t read the same thing as the rest of the reviews…<br/><br/>Cons:<br/>- this doesn’t read as other books by Crouch; the tension is so badly managed that I found myself thinking “yeah, yeah, just get over with it, that’s enough” - seriously… the tension scales the entire book, but it doesn’t play with itself, so you end up waiting for the climax, and… it doesn’t exist<br/>- you get a glimpse of the MC past, but the reasons for it are a complete mystery - it serves almost no purpose to the plot<br/>- the MC is, apparently, a master climber, with a special ability to fit into tight spaces after being drugged, slashed, almost shot, and fighting hypothermia and severe infections<br/>- the MC spends to much time escaping and he just gives himself to the bad guys, because of reasons<br/>- the sci-fi of it is barely explained<br/>- nothing makes a lot of sense"
10592,Carrie,Stephen King,1416524304,9781416524304,5,read,2026/01/02,2025/12/31,false,"I usually write my review in Pros and Cons bullet points but there are no cons about this so full text will be.<br/><br/>King has an amazing ability to write gruesome scenes and make us doubt his own sanity; I’m sure he’s more than okay with that but it’s books like Carrie that make people give him a bad look. That’s how good the book is!<br/><br/>I’ve read Carrie after reading Cell and while the destruction vibe feels similar, it’s so much better achieved in Carrie. Cell felt very long, while the journey was obvious, but, Carrie… it was just the perfect length.<br/><br/>I don’t know how much King lived to be able to write the characters that he writes, but they feel so alive, so real, so disgustingly human, that the horror in them transpires so easily into us that you actually feel sorry and disgusted by and for them.<br/><br/>Anyway, I’m just rambling. It’s a very good book. The writing is amazing, the plot is good, the story is horrific, the details are disgusting, the emotions are raw.<br/><br/>It’s not for everybody (horror never is) and a lot of people will judge the story based on the acts of animalistic nature, but if you can look past that, you’ll get it"
212090220,"Advent (The Exlian Syndrome Series, #1)",Seth Ring,,9798874692575,4,read,2025/12/31,2025/12/10,false,"Pros:<br/>- good and detailed fight scenes<br/>- zero to hero plot felt good with enough layers<br/>- it has training montages, and coupled with the detailed fight scenes it is very entertaining<br/>- detailed description of powers and enemies<br/><br/>Cons:<br/>- i would like to know more about the city and its history and it doesn’t provide that<br/>- chapters ended in weird places<br/>- this book sets up a lot of plot points but doesn’t try to resolve any of them - i know that this is a series but it would have been nice to have something more<br/>- mysterious characters feel like what you’ve seen in many different stories<br/>- audio narration is slow"
217388302,Hemlock & Silver,T. Kingfisher,1250342031,9781250342034,3,read,2025/12/31,2025/12/23,false,"Pros;<br/>- the cat would win the prize of the most cat of cats<br/>- the idea of the mirrors and reflections “hanging” until the person crossed a different one was very interesting<br/><br/>Cons:<br/>- i didn’t enjoy the resolution of the villain<br/>- it felt like it didn’t really matter who the main character was because she didn’t bring anything unique to the resolution<br/>- when you reach the end, you wonder if this couldn’t have been a short story instead because it has a lot of padding that feels like red herrings<br/>- there’s a tiny bit of history about the realm but it felt insufficient for me"
